id,County_Code,District_Code,School_Code,Filler,Test_Year,Subgroup_ID,Test_Type,Total_CAASPP_Enrollment,Total_Tested_At_Entity_Level,Total_Tested_at_Subgroup_Level,Grade,Test_Id,CAASPP_Reported_Enrollment,Students_Tested,Mean_Scale_Score,Percentage_Standard_Exceeded,Percentage_Standard_Met,Percentage_Standard_Met_and_Above,Percentage_Standard_Nearly_Met,Percentage_Standard_Not_Met,Students_with_Scores,Area_1_Percentage_Above_Standard,Area_1_Percentage_At_or_Near_Standard,Area_1_Percentage_Below_Standard,Area_2_Percentage_Above_Standard,Area_2_Percentage_At_or_Near_Standard,Area_2_Percentage_Below_Standard,Area_3_Percentage_Above_Standard,Area_3_Percentage_At_or_Near_Standard,Area_3_Percentage_Below_Standard,Area_4_Percentage_Above_Standard,Area_4_Percentage_At_or_Near_Standard,Area_4_Percentage_Below_Standard,Total_Tested_with_Scores,Area_1_Percentage_Near_Standard,Area_2_Percentage_Near_Standard,Area_3_Percentage_Near_Standard,Area_4_Percentage_Near_Standard
sb_ca2019_all_csv_v4.txt,01,75119,0000000,NA,2019,1,B,NA,192,NA,5,1,32,31,2568.2,48.39,29.03,77.42,12.90,9.68,31,51.61,NA,12.90,38.71,NA,9.68,16.13,NA,12.90,61.29,NA,9.68,192,35.48,51.61,70.97,29.03
sb_ca2019_all_csv_v4.txt,02,61333,0000000,NA,2019,1,B,NA,52,NA,5,1,11,11,2484.2,18.18,27.27,45.45,27.27,27.27,11,18.18,NA,27.27,27.27,NA,18.18,9.09,NA,36.36,27.27,NA,27.27,52,54.55,54.55,54.55,45.45
sb_ca2019_all_csv_v4.txt,04,61523,0000000,NA,2019,1,B,NA,862,NA,5,1,161,156,2463.6,10.90,21.15,32.05,26.28,41.67,156,14.74,NA,40.38,10.26,NA,35.90,7.69,NA,28.21,14.10,NA,43.59,862,44.87,53.85,64.10,42.31
sb_ca2019_all_csv_v4.txt,04,61531,0000000,NA,2019,1,B,NA,*,NA,5,1,*,*,*,*,*,*,*,*,*,*,NA,*,*,NA,*,*,NA,*,*,NA,*,*,*,*,*,*
sb_ca2019_all_csv_v4.txt,06,10066,0000000,NA,2019,1,B,NA,14,NA,5,1,*,*,*,*,*,*,*,*,*,*,NA,*,*,NA,*,*,NA,*,*,NA,*,14,*,*,*,*
sb_ca2019_all_csv_v4.txt,06,61598,0000000,NA,2019,1,B,NA,765,NA,5,1,125,122,2471.0,7.38,27.05,34.43,31.97,33.61,122,14.75,NA,31.97,16.39,NA,29.51,10.66,NA,30.33,9.84,NA,36.07,765,53.28,54.10,59.02,54.10
sb_ca2019_all_csv_v4.txt,06,61606,0000000,NA,2019,1,B,NA,179,NA,5,1,41,37,2474.6,10.81,21.62,32.43,45.95,21.62,37,10.81,NA,18.92,11.11,NA,30.56,8.33,NA,19.44,11.11,NA,22.22,179,70.27,58.33,72.22,66.67
sb_ca2019_all_csv_v4.txt,07,61739,0000000,NA,2019,1,B,NA,2057,NA,5,1,302,289,2509.3,26.99,27.68,54.67,17.30,28.03,289,30.10,NA,26.64,28.37,NA,28.37,24.22,NA,19.03,31.49,NA,25.26,2056,43.25,43.25,56.75,43.25
sb_ca2019_all_csv_v4.txt,07,61804,0000000,NA,2019,1,B,NA,17191,NA,5,1,2419,2391,2577.4,51.90,31.44,83.34,10.38,6.28,2389,55.50,NA,6.91,54.13,NA,6.91,37.29,NA,6.87,54.71,NA,7.04,17187,37.59,38.96,55.84,38.25
sb_ca2019_all_csv_v4.txt,08,10082,0000000,NA,2019,1,B,NA,152,NA,5,1,11,10,*,*,*,*,*,*,10,*,NA,*,*,NA,*,*,NA,*,*,NA,*,152,*,*,*,*
